Id,Date,Open,High,Low,Close,Volume
145,8/6/2014,79.4,81.3,79.27,81.09,12839049
146,8/7/2014,81.02,81.18,80.01,80.14,7912807
147,8/8/2014,80.05,81.03,80.04,80.95,6215609
148,8/11/2014,81.23,81.87,81.03,81.48,8188008
149,8/12/2014,81.5,81.86,81.21,81.42,6591201
150,8/13/2014,81.64,81.8,81.11,81.48,5472198
151,8/14/2014,81.59,82.04,81.44,81.95,5930709
152,8/15/2014,82.23,82.23,81.18,81.78,7422986
153,8/18/2014,81.99,82.85,81.81,82.44,8450531
154,8/19/2014,82.35,82.87,82.12,82.69,6873612
155,8/20/2014,82.46,82.94,82.46,82.81,4581835
156,8/21/2014,82.8,83.47,82.69,83.28,7106490
157,8/22/2014,83.16,83.66,83.14,83.39,6978890
158,8/25/2014,83.74,83.82,83.31,83.54,5586758
159,8/26/2014,83.61,83.83,83.33,83.38,5188357
160,8/27/2014,83.43,83.6,83.16,83.31,4248518
161,8/28/2014,83.02,83.22,82.76,83.03,4283148
162,8/29/2014,83.09,83.13,82.6,83.11,4901408
163,9/2/2014,83.21,83.49,82.71,82.98,5528875
164,9/3/2014,83.26,83.48,82.77,82.9,5851788
165,9/4/2014,82.92,83.75,82.78,83.7,7444413
166,9/5/2014,83.44,83.8,83.06,83.77,5889038
167,9/8/2014,83.57,83.6,83.13,83.32,4899613
168,9/9/2014,83.05,83.29,82.83,82.99,5206752
169,9/10/2014,83.2,83.96,83.15,83.64,6722192
170,9/11/2014,83.61,83.75,83.37,83.49,6345118
171,9/12/2014,83.21,83.38,82.86,83.26,6367223
172,9/15/2014,83.18,84.25,83.14,83.87,7008544
173,9/16/2014,83.58,84.45,83.56,84.08,7146245
174,9/17/2014,84.02,84.5,83.93,84.16,8277298
175,9/18/2014,84.18,84.44,84.07,84.19,5309232
176,9/19/2014,84.52,84.77,84.18,84.47,11380809
177,9/22/2014,84.64,84.95,84.49,84.81,8397142
178,9/23/2014,84.65,84.92,84.44,84.44,7723459
179,9/24/2014,84.33,85.4,84.33,85.24,11694662
180,9/25/2014,85.02,85.13,84.33,84.33,8212325
181,9/26/2014,84.54,84.74,83.86,84.58,5482722
182,9/29/2014,84.11,84.47,83.66,84.44,6362241
183,9/30/2014,84.34,84.36,83.68,83.74,8080639
184,10/1/2014,84.02,84.04,83.03,83.14,9029128
185,10/2/2014,83.1,83.97,82.95,83.05,8858502
186,10/3/2014,83.44,83.94,82.88,83.79,6702043
187,10/6/2014,83.57,83.94,83.19,83.57,5656495
188,10/7/2014,83.38,83.92,83.12,83.16,7386318
189,10/8/2014,83.34,84.28,83.21,84.18,8110994
190,10/9/2014,84.21,84.88,83.53,83.66,7765706
191,10/10/2014,83.95,85.28,83.91,84.69,13733453
192,10/13/2014,84.31,84.47,83.31,83.37,10073580
193,10/14/2014,83.91,83.91,83.03,83.55,8210923
194,10/15/2014,82.59,83.58,81.76,82.95,13288831
195,10/16/2014,81.65,82.8,81.57,82.24,11310285
196,10/17/2014,82.95,83.48,82.03,83.27,11786627
